vinculo;categoria;cargo;ano_exercicio;remuneracao_basica;vantagens_pessoais;funcao_comissionada;gratificacao_natalina;horas_extras;horas_eventuais;abono;reversao_teto;IR;INSS;falta;remuneracao_liquida;diarias;auxilios;vantagens_indenizadoras
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.65;-386.65;0.0;2451.66;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-102.69;0.0;0.0;-102.69;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1069.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1157.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1113.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1141.68;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.65;-386.65;0.0;2451.66;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-102.69;0.0;0.0;-102.69;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1179.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1022.01;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2018;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1157.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2020;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-52.67;-261.54;0.0;2553.75;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1069.68;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2813.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.65;-386.65;0.0;2396.93;0.0;1383.68;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-102.69;0.0;0.0;-102.69;0.0;-54.73;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1157.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-15.42;-386.65;0.0;2465.89;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-88.48;0.0;0.0;-88.48;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2019;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
